city,lat,cloudiness,country,date,humidity,lng,max_temp,wind_speed
Tuatapere,-46.13,100,NZ,1561849564,78,167.69,48.99,1.99
Lodja,-3.52,62,CD,1561849581,65,23.6,72.62,0.56
Geraldton,49.72,40,CA,1561849567,41,-86.95,75.2,10.29
Talnakh,69.49,0,RU,1561849583,76,88.39,48.2,8.95
East London,-33.02,5,ZA,1561849585,28,27.91,58.76,4.38
Nikolskoye,59.7,40,RU,1561849587,72,30.79,60.8,6.71
Nuuk,64.17,75,GL,1561849588,86,-51.74,41.0,4.7
Qaqortoq,60.72,75,GL,1561849590,70,-46.03,48.2,5.82
Homer,59.64,1,US,1561849591,68,-151.54,80.01,10.29
Capreol,46.71,40,CA,1561849592,42,-80.92,80.6,12.75
San Policarpo,12.18,100,PH,1561849595,77,125.51,80.58,4.56
Katsuura,33.93,75,JP,1561849597,88,134.5,78.8,9.17
Bitung,1.44,40,ID,1561849598,88,125.19,73.4,2.24
Hirado,33.32,90,JP,1561849600,100,129.49,75.99,9.17
Bambous Virieux,-20.34,40,MU,1561849601,60,57.76,73.4,14.99
Mukhen,48.19,100,RU,1561849602,56,136.14,65.91,4.47
Barabinsk,55.35,0,RU,1561849604,88,78.35,49.71,6.6
Nicoya,10.15,75,CR,1561849605,55,-85.45,87.8,13.87
Chuy,-33.69,98,UY,1561849563,99,-53.46,63.24,1.9
Saldanha,41.42,0,PT,1561849564,69,-6.55,70.44,3.36
Qasigiannguit,68.82,75,GL,1561849611,75,-51.19,42.8,9.17
Beyneu,45.32,66,KZ,1561849615,28,55.19,75.28,9.42
Dubbo,-32.25,1,AU,1561849616,93,148.6,48.2,7.49
Barcelona,41.38,0,ES,1561849575,65,2.18,84.0,1.12
Naze,5.43,75,NG,1561849609,88,7.07,78.8,5.21
Kutum,14.2,52,SD,1561849589,32,24.66,79.62,0.74
Najran,17.54,0,SA,1561849622,19,44.22,86.0,4.7
Solnechnyy,50.72,100,RU,1561849624,59,136.64,69.4,3.56
Cherskiy,68.75,100,RU,1561849625,70,161.3,47.37,14.09
Horizonte,-4.1,75,BR,1561849626,78,-38.5,78.8,10.29
Nemuro,43.32,93,JP,1561849628,91,145.57,51.97,11.83
Mataura,-46.19,93,NZ,1561849562,78,168.86,48.99,1.99
Puerto Ayora,-0.74,20,EC,1561849630,78,-90.35,75.2,20.8
Khonsa,26.99,69,IN,1561849631,96,95.51,70.28,3.83
Ponta do Sol,-20.63,1,BR,1561849607,82,-46.0,62.77,6.46
Bredasdorp,-34.53,81,ZA,1561849561,81,20.04,54.0,3.36
Tasiilaq,65.61,100,GL,1561849635,88,-37.64,48.2,12.75
New Norfolk,-42.78,75,AU,1561849637,50,147.06,53.6,16.11
Chara,39.42,20,GR,1561849638,64,22.43,73.0,1.83
Te Anau,-45.41,100,NZ,1561849640,81,167.72,47.53,2.28
Naryan-Mar,67.67,99,RU,1561849642,82,53.09,58.45,20.38
Erdaojiang,41.78,98,CN,1561849643,96,126.03,59.84,2.68
Clarence Town,-32.59,90,AU,1561849644,76,151.78,60.01,8.05
Limbang,4.75,75,BN,1561849645,94,115.01,80.6,2.24
Hobart,-42.88,75,AU,1561849562,50,147.33,53.6,16.11
Saint George,39.45,20,GR,1561849474,64,22.34,73.0,1.83
Codrington,-28.95,90,AU,1561849608,100,153.24,61.0,4.7
